block_date,tx_version,event_index,counterpart_event_index,from_address,to_address,from_storage_id,to_storage_id,asset_type,token_standard,amount_raw,transfer_type
2026-04-02,4751703217,2,,0xb7cb159db88215cd1670edfe4e30df58177571610983fc06681f4c9773810b3e,,0x65ad34e1071d05d4579891a9a27955e6a35a3a2b49bf212a8aa932ee6b389ad7,,0x0009da434d9b873b5159e8eeed70202ad22dc075867a7793234fbc981b63e119,v2,1000000000000000,burn
2026-04-06,4784559151,1,,0x71a5f0d6b14c11a127fa29c5e252d8f89615ac2d54ae14730ca5f16559a956c7,0x71a5f0d6b14c11a127fa29c5e252d8f89615ac2d54ae14730ca5f16559a956c7,0x01a5926d023197ee4a6d79c2a2c5f961420dd144cf4dee9d75a875c32d3e91b8,0x01a5926d023197ee4a6d79c2a2c5f961420dd144cf4dee9d75a875c32d3e91b8,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b,v2,30000000,mint
2026-04-06,4784843111,0,,0x64c815fa7c79a1fe27b7b4e8a7562aaa31997e659f275dca5da710802f3bb708,0x64c815fa7c79a1fe27b7b4e8a7562aaa31997e659f275dca5da710802f3bb708,0x5647e0f93f74ccc9ad6e404e05b54923958e99be6a1cd73b54bc1ac5e94731cf,0x5647e0f93f74ccc9ad6e404e05b54923958e99be6a1cd73b54bc1ac5e94731cf,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b,v2,574999750000,burn
