tx_hash,block_time,token_id,amount_original,buyer,seller,platform_fee_amount,royalty_fee_amount
0x58eb6a17b75e4ce39b5d329621a877d819430fe47c0bf05eca6a1f2c23aad2c5,2021-11-29T21:30:14+00:00,35,1.224169907307609399,0xbbdd72fcce73c2626719be00259ddffef0d5673d,0xfd22004806a6846ea67ad883356be810f0428793,0.030604247682690235,0.12241699073076094
0xe6c62f916f99cd1b73090d2e84449eca9c994f89b8fe62b70dc94aa70a566a6d,2019-12-28T11:03:24+00:00,22,1.1010960562805696,0xde300722ffc1b994201d684f69359ae80ede0786,0x8660a3185f506024154f9a915f1be71c89c03234,0.02752740140701424,0
0xe6c62f916f99cd1b73090d2e84449eca9c994f89b8fe62b70dc94aa70a566a6d,2019-12-28T11:03:24+00:00,26,1.1010960562805696,0xde300722ffc1b994201d684f69359ae80ede0786,0x8660a3185f506024154f9a915f1be71c89c03234,0.02752740140701424,0
0x00008eceef8c603d51dc6c5f90abc75e88e3c7728ae1bd177552c8c2678488a1,2022-01-01T07:56:25+00:00,3616,0.059,0xf8e9e27e820f1d544a8cf5a25213db7fe4f1d61e,0x0b49b187aeedd85e153cf669017cd2f43955d375,0.001475,0.002655
0x005001a7044549579115e1c9991e75dd2f0ee463bff007e9ca855e8aea04998d,2022-01-01T04:26:46+00:00,13,0.05821428571428571,0xd082fee0e66e84eeb9be47eea679bb671dc1dae9,0x94b8edf3f54fec7308b77b8d6814709a8929824b,0,0.001455357142857143
0x005001a7044549579115e1c9991e75dd2f0ee463bff007e9ca855e8aea04998d,2022-01-01T04:26:46+00:00,3208,0.05821428571428571,0xd082fee0e66e84eeb9be47eea679bb671dc1dae9,0x94b8edf3f54fec7308b77b8d6814709a8929824b,0,0.001455357142857143
0x001a9007f39b2cb5e25262cae2d0b0e51bbf41b0c93c16dc17e59d2a60fa4d61,2022-01-01T00:36:24+00:00,836,0.1,0xce180b7fec4d74ce6da29714ce5bde22fe3035b1,0x563153823d702516f92fc24edd9358d6973f60f9,0.0025,0.0075
0x9084545c6ca20e53bcf60640791a92196ab7d77281de53032bfc459adf502308,2022-06-01T18:05:02+00:00,2,0.0675,0xcb77a8eb61d301225614563e2938745ab736634a,0xdc56864dbf179de45f3f196d83c587b6a794e716,0.0016875,0
0x6d0390307078d784a5f7df013201810803b620d6f5416708a1351c66d7106d64,2022-06-01T18:05:10+00:00,538,0.169,0x3bea7f9ae316cc91930045807025b68b7df96416,0x81458fe80689233c1a37666f46f6f210f1d0d884,0.004225,0.011661
0xf7b5647aab7fdd6e7dcbfb253ff87a265f947f0104c7429e76defed009412ace,2022-06-01T19:44:43+00:00,1,0.1,0x961d12c4c8af611bc0ca5804b2d261155b385aa5,0x67539e2097559d70ba7e185155d3d40ac0c3f03c,0.0025,0.005
0xffdf85c35818d4b092f343ed150366bb6a82007752e3d2d4cc51415f5a6c8c24,2022-06-01T14:41:09+00:00,6753,0.0406,0xc9a285bc13f137ebdb857096ad819eae1fa4f207,0x6cba70933e4038b04987d86fb8b15f85f60f41a1,0.001015,0.00203
0x1d7356f3b90c99a0522b4f3c091a664503f73582fce8acdacd91465a8fe2cad3,2022-06-01T09:28:52+00:00,36410213260540415590581082995199198625792,24.75,0xcca782771272dbd8afa36f2c4e7eaa20c7d13d34,0x279436c456a495a07c021d2f248cda5c44f911e2,0.61875,0.61875
0x1d7356f3b90c99a0522b4f3c091a664503f73582fce8acdacd91465a8fe2cad3,2022-06-01T09:28:52+00:00,38111625095145107907897956032358039683072,24.75,0xcca782771272dbd8afa36f2c4e7eaa20c7d13d34,0x279436c456a495a07c021d2f248cda5c44f911e2,0.61875,0.61875
0x49a15b99361abf650f7ff1b0aa8eefbe6023c4814905b961b3a2208d333c15ee,2022-06-01T01:10:03+00:00,0,0.55,0x62b8cc7f15823ffae76b77b4523f948ef34ed3ac,0xe71933b65ce7472a2f8c256bc35424cf027cae0b,0.01375,0.04125
0xffef8039a131631434e5710f90a2f91d796c11ea284c66c849b2da3ca3669353,2022-06-01T07:43:46+00:00,2017,0.0028,0x532ec37834e5262a2125fdcb2f214f72a8ae295f,0x334428d7f24a1850439f88000ec5279d8f69a0b0,0.00007,0.00014
0xffef8039a131631434e5710f90a2f91d796c11ea284c66c849b2da3ca3669353,2022-06-01T07:43:46+00:00,2018,0.0028,0x532ec37834e5262a2125fdcb2f214f72a8ae295f,0x334428d7f24a1850439f88000ec5279d8f69a0b0,0.00007,0.00014
0x4a9899635e90022ed6f362e38cf1b933ed82713ef91f420ce7e4113392ba2711,2022-06-01T06:02:17+00:00,42762302293241477603311362851489251760493898966649849792766838403986385534977,0.01,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,0x5e8a9afad6225118ed0f4c1fe944924262fe61c4,0,0.001
0x4a9899635e90022ed6f362e38cf1b933ed82713ef91f420ce7e4113392ba2711,2022-06-01T06:02:17+00:00,42762302293241477603311362851489251760493898966649849792766838405085897162753,0.01,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,0x5e8a9afad6225118ed0f4c1fe944924262fe61c4,0,0.001
0x000172933c19f77222ac6ff9621aade618e0930e2b6fe0562d2e9064cbd35e69,2022-06-01T06:13:08+00:00,4430,0.06999,0x82f88c12582a83f8841fad7badfc5869d29572e3,0xc8390b7c30d1aa6a344b74a2d5b474a0891339c0,0.00174975,0.00524925
