blockchain,project,version,block_date,block_time,seller,buyer,trade_type,trade_category,evt_type,nft_contract_address,collection,token_id,number_of_items,token_standard,amount_original,amount_raw,amount_usd,currency_symbol,currency_contract,original_currency_contract,currency_decimals,project_contract_address,platform_fee_receive_address,platform_fee_amount_raw,platform_fee_amount,platform_fee_amount_usd,royalty_fee_receive_address,royalty_fee_amount_raw,royalty_fee_amount,royalty_fee_amount_usd,royalty_fee_receive_address_1,royalty_fee_receive_address_2,royalty_fee_receive_address_3,royalty_fee_receive_address_4,royalty_fee_receive_address_5,royalty_fee_amount_raw_1,royalty_fee_amount_raw_2,royalty_fee_amount_raw_3,royalty_fee_amount_raw_4,royalty_fee_amount_raw_5,aggregator_name,aggregator_address,block_number,tx_hash,evt_index,tx_from,tx_to,right_hash,zone_address,estimated_price,is_private,sub_idx,sub_type,fee_wallet_name,unique_trade_id
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:22:35Z,0x3af70805139fc4b6018a687a5e23b9f09cde728f,0x349a163d796546d34e8998948a205fdaee14e718,Single Item Trade,Buy,Trade,0xeb3b0ac9e4829a92e964e723efda9104ce0de5ec,JANKLERZ,905,1,erc721,0.125,1.25e+17,235.81625,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,3.125e+15,0.003125,5.895406250000001,0xc9b5db189631ed9bb35eb795826d90717b43b56a,6.25e+15,0.00625,11.790812500000001,0xc9b5db189631ed9bb35eb795826d90717b43b56a,,,,,6.25e+15,,,,,,,1.7424925e+07,0x05a0e8e3b9636d2ae743da7ecd98e866ad2fa13745fa048d954128ab59de0b0f,246,0x349a163d796546d34e8998948a205fdaee14e718,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,false,false,1,offer,opensea,seaport-0x05a0e8e3b9636d2ae743da7ecd98e866ad2fa13745fa048d954128ab59de0b0f-246-0xeb3b0ac9e4829a92e964e723efda9104ce0de5ec-905-offer-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:34:59Z,0xb3691fe1ec4d22eba2840ba8199423d5231eb0f5,0xd874f397202b032e2611cf999ff737da419233e9,Single Item Trade,Buy,Trade,0x0c9663115b36fa95d18e71d59054117bcb0342ef,XTREME PIXELS,20357,1,erc721,0.015,1.5e+16,28.3056,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,3.75e+14,0.000375,0.70764,0x28ebe06f78077ee754d3395bdefa3e68b363d52d,1.5e+15,0.0015,2.83056,0x28ebe06f78077ee754d3395bdefa3e68b363d52d,,,,,1.5e+15,,,,,Reservoir,,1.7424985e+07,0x0cde1b655f8c702547299e3ffca99beeae00354e4d25949f298b07fa5b43a8a5,325,0xd874f397202b032e2611cf999ff737da419233e9,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,2e61691f,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,false,false,1,offer,opensea,seaport-0x0cde1b655f8c702547299e3ffca99beeae00354e4d25949f298b07fa5b43a8a5-325-0x0c9663115b36fa95d18e71d59054117bcb0342ef-20357-offer-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:34:35Z,0xdde1d33ae038ebba1c501983a87479fbaf1cd133,0xc06eefc625a65fce7f58c993fad7a56695028696,Single Item Trade,Buy,Trade,0xbff94df17c24c7911f1da4902117363a67633831,GOOFIES,500,1,erc721,0.0229,2.29e+16,43.213216,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,5.725e+14,0.0005725,1.0803304,,,,,,,,,,,,,,,,,1.7424983e+07,0x0dbeeeaff8846395bfa235f7eb615e18c3d0f543089a923bbe68750918987d93,71,0xc06eefc625a65fce7f58c993fad7a56695028696,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x0000000000000000000000000000000000000000,false,false,1,offer,opensea,seaport-0x0dbeeeaff8846395bfa235f7eb615e18c3d0f543089a923bbe68750918987d93-71-0xbff94df17c24c7911f1da4902117363a67633831-500-offer-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:43:47Z,0xb2f53bfd0845878e690cf7793867c2bd2029d34e,0x65078e1a9738db2c37375f408c17b4fe7b8178d5,Single Item Trade,Buy,Trade,0x2118fa9369b9a52fb6bf8cf3fd392643d55a53b4,ApeGang,4981676894159712808201908443964193325271219637660871887967793669721884196865,1,erc721,0.028,2.8e+16,52.91272,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,,,,,0x0b038779c3fad5767d0257107c8d9b21dabb5ed7,1.4e+14,0.00014,0.26456359999999995,0x0b038779c3fad5767d0257107c8d9b21dabb5ed7,,,,,1.4000000000000002e+14,,,,,,,1.7425029e+07,0x0559bdf3028fd3a50b2d0e7fc379461415050bc99d12ee7641dc97abac477df4,257,0x65078e1a9738db2c37375f408c17b4fe7b8178d5,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,false,false,1,offer,,seaport-0x0559bdf3028fd3a50b2d0e7fc379461415050bc99d12ee7641dc97abac477df4-257-0x2118fa9369b9a52fb6bf8cf3fd392643d55a53b4-4981676894159712808201908443964193325271219637660871887967793669721884196865-offer-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,3351,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,1,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-3351-offer-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,1848,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,2,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-1848-offer-2
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,5739,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,3,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-5739-offer-3
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,7100,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,4,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-7100-offer-4
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,7098,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,5,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-7098-offer-5
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,8881,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,6,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-8881-offer-6
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,3352,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,7,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-3352-offer-7
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T00:53:11Z,0x66c0d76fa645471f6d8bf2f3c104938f38371314,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,Bundle Trade,Buy,Trade,0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c,Skullx,1849,1,erc721,0.01,1e+16,18.9154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.5e+14,0.00025,0.472885,,,,,,,,,,,,,,,,,1.7425076e+07,0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd,429,0xc0aa1064cfc0f90ea58a896e5370b0bed5d4c2dc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,true,false,8,offer,opensea,seaport-0x073b7b548edaedb6a2b218fe8995678f3ce3ce04915160c2a11b221fb8171bbd-429-0x1dc5d3b2162f9500d7ddec14eb0ba9ccb43bc20c-1849-offer-8
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T01:34:59Z,0xe08e53c833dc8500c0fa646f07a8c7d2ce1c00db,0x203930c13aae69e3adadc4809e8af3377f646718,Single Item Trade,Offer Accepted,Trade,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,Art Blocks Curated,142000251,1,erc721,0.05,5e+16,94.1305,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,1.25e+15,0.00125,2.3532625,,,,,,,,,,,,,,,,,1.7425279e+07,0x0b311de9e3df5b3dabbd3ba6a7543488da1ce64718733f9e8670b1f4b9b50ca0,545,0xe08e53c833dc8500c0fa646f07a8c7d2ce1c00db,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,dbe61192,0x000000e7ec00e7b300774b00001314b8610022b8,false,false,1,consideration,opensea,seaport-0x0b311de9e3df5b3dabbd3ba6a7543488da1ce64718733f9e8670b1f4b9b50ca0-545-0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-142000251-consideration-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T03:48:59Z,0x8c495d0cc52f61fcac015bf830f2e7404124ee1f,0xaf4373e0f347cc532672291b9544d1c3616f76cd,Single Item Trade,Offer Accepted,Trade,0x2c88aa0956bc9813505d73575f653f69ada60923,Land,5529,1,erc721,0.0737,7.37e+16,138.37175,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,1.8425e+15,0.0018425,3.45929375,,,,,,,,,,,,,,,,,1.7425944e+07,0x06f1401ce3343fb53db254f4ef068894f97f9399e8fe826d06e265e0663c22e0,357,0x8c495d0cc52f61fcac015bf830f2e7404124ee1f,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x000000e7ec00e7b300774b00001314b8610022b8,false,false,1,consideration,opensea,seaport-0x06f1401ce3343fb53db254f4ef068894f97f9399e8fe826d06e265e0663c22e0-357-0x2c88aa0956bc9813505d73575f653f69ada60923-5529-consideration-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T03:53:35Z,0xe7759f963cd62208764caee67ecf4291092e0b00,0x1211f72f9e0bcbb8c62261acc29232e6bd263d06,Single Item Trade,Offer Accepted,Trade,0x7daec605e9e2a1717326eedfd660601e2753a057,10KTF Stockroom,1,1,erc1155,0.15,1.5e+17,281.838,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,3.75e+15,0.00375,7.04595,,,,,,,,,,,,,,,,,1.7425966e+07,0x0587776e91b029fedf6627e82974c2d47e2b67f4a655773864836e99a2d9d0bf,205,0xe7759f963cd62208764caee67ecf4291092e0b00,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,false,false,1,consideration,opensea,seaport-0x0587776e91b029fedf6627e82974c2d47e2b67f4a655773864836e99a2d9d0bf-205-0x7daec605e9e2a1717326eedfd660601e2753a057-1-consideration-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T03:53:59Z,0x2e044ca32c275c534580f6d22842689d3e018c61,0x64454fb0cd4861e55da09e032424841927740ee5,Single Item Trade,Buy,Trade,0x3bfc3134645ebe0393f90d6a19bcb20bd732964f,Radbro Webring: Radcats,3028,1,erc721,0.06,6e+16,112.7352,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,1.5e+15,0.0015,2.8183800000000003,,,,,,,,,,,,,,,Gem,,1.7425968e+07,0x06388b54a88f1c0bee2af05d9be3c0c9b9e7734b4264d76ed4758f1d5aa9ad28,240,0x64454fb0cd4861e55da09e032424841927740ee5,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,72db8c0b,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,false,false,1,offer,opensea,seaport-0x06388b54a88f1c0bee2af05d9be3c0c9b9e7734b4264d76ed4758f1d5aa9ad28-240-0x3bfc3134645ebe0393f90d6a19bcb20bd732964f-3028-offer-1
ethereum,opensea,v4,2023-06-07T00:00:00Z,2023-06-07T04:42:35Z,0x0000000000ad737a527c2757136ae83bb40b925e,0x0bfff40545a2250c3f11993e7b75dbbcb11e36ac,Single Item Trade,Buy,Trade,0x9d7987d74c0b3ca8e8472f90c713c456dd656be8,ARGUS GENESIS   ,7087,1,erc721,0.00589999,5.89999e+15,11.0942231962,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000000,18,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x0000a26b00c1f0df003000390027140000faa719,2.949995e+13,2.949995e-05,0.055471115981,,,,,,,,,,,,,,,,,1.7426206e+07,0x00428b0fe616956c6d7cc7f07f753b8312815b259a410267d1c4487cdd214904,327,0x0bfff40545a2250c3f11993e7b75dbbcb11e36ac,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,360c6ebe,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,false,false,1,offer,opensea,seaport-0x00428b0fe616956c6d7cc7f07f753b8312815b259a410267d1c4487cdd214904-327-0x9d7987d74c0b3ca8e8472f90c713c456dd656be8-7087-offer-1
